CPU,Felzenszwalb Time,SLIC Time,Quickshift Time,FBM Time,CCL Time
Ryzen 5600X,3.199189186,2.98341465,24.50130248,0.01999998093,0.4293489456
Ryzen 5600X,2.794306993,3.148244619,24.02026606,0.01305174828,0.4021565914
Ryzen 5600X,3.430305481,3.710826159,24.04662609,0.01599836349,0.5233716965
Ryzen 5600X,3.295841694,4.082845688,24.16017723,0.0130507946,0.2821190357
Ryzen 5600X,2.834874392,3.719769478,22.9160409,0.0140414238,0.3740851879
Ryzen 5600X,2.620900154,2.842329741,24.80656981,0.01405453682,0.3357892036
Ryzen 5600X,3.35746026,2.981235266,26.17719316,0.01406121254,0.3492913246
Ryzen 5600X,2.99249959,3.306083202,26.23045659,0.0151052475,0.2948722839
Ryzen 5600X,2.526427746,2.909158945,25.60622668,0.01405882835,0.3544173241
Ryzen 5600X,2.772910357,2.968062401,25.54951859,0.01305055618,0.3038253784
Ryzen 5600X,2.691028833,3.070709944,23.79181671,0.0130944252,0.3399720192
Ryzen 5600X,3.288282633,2.997352839,24.79907417,0.02204942703,0.4614100456
Ryzen 5600X,2.917071581,2.851196051,25.29751062,0.01803851128,0.3971998692
Ryzen 5600X,3.699801922,3.154225588,24.80457306,0.02300047874,0.4236395359
Ryzen 5600X,3.397445202,3.142795324,24.97892547,0.01799869537,0.3104367256
Ryzen 5600X,3.495799065,3.26309824,25.18671703,0.01400089264,0.4262738228
Ryzen 5600X,3.827163458,3.605202675,25.22308969,0.02106070518,0.4474346638
Ryzen 5600X,3.484567881,4.11042285,25.53430963,0.01205253601,0.3055381775
Ryzen 5600X,3.239474535,3.947896957,24.62317443,0.01104140282,0.3693013191
Ryzen 5600X,3.856207848,3.989596128,23.91356373,0.0130443573,0.3425631523
Ryzen 5600X,3.543919086,3.889669418,24.52408552,0.0180003643,0.3773934841
Ryzen 5600X,3.837587595,4.181260824,24.78837776,0.01905107498,0.3092536926
Ryzen 5600X,3.636815071,3.846005678,24.75526881,0.01105093956,0.4251778126
